,ALE
1644,79.3
121,73.3
1702,77.5
201,77.1
577,79.1
1735,80.1
1816,79.0
1379,78.1
1010,74.7
2222,76.8
2256,78.7
1254,76.2
406,74.3
1210,78.5
1957,75.1
976,78.1
311,78.8
1575,73.6
788,77.8
573,76.8
1371,78.0
1943,78.2
2109,78.1
2127,77.8
2904,76.0
189,76.8
884,77.8
812,78.0
1787,77.1
1481,77.9
3007,74.9
2935,74.6
3112,79.6
1322,76.2
3002,77.0
2263,76.7
2459,74.2
1634,77.8
2981,77.3
2204,76.3
1341,79.2
1866,79.0
2715,77.9
2824,80.1
2075,77.0
1331,79.8
1295,74.6
2165,74.6
2640,76.6
2863,76.0
1827,77.1
2254,75.9
72,76.9
1509,76.4
503,76.9
2678,73.5
2485,75.1
262,80.3
474,73.8
995,76.3
2857,73.3
1946,71.2
2033,78.9
2573,76.9
197,78.3
1770,78.1
2976,76.5
223,79.4
513,74.1
1498,74.9
2092,78.5
768,76.9
2152,75.3
2178,74.6
2480,73.0
1382,78.2
20,73.7
1914,75.1
1025,75.3
2311,79.3
969,77.4
164,72.4
434,73.1
906,77.3
723,79.1
1958,76.3
2797,77.0
294,78.5
928,77.3
945,77.8
1099,75.4
1778,74.7
918,78.3
2220,78.0
429,72.8
1158,74.3
490,73.8
1461,72.1
1455,73.2
462,74.0
1162,76.2
1881,77.5
2694,75.2
75,76.9
1585,76.7
369,77.2
2101,76.6
266,81.3
2911,75.3
2173,72.1
251,77.9
2912,78.5
911,78.9
2551,80.1
2711,78.8
3135,76.1
3003,75.4
1876,77.1
539,75.3
2128,77.1
2392,78.5
1031,74.2
2586,77.7
631,76.4
106,80.0
378,74.2
16,75.3
1218,79.4
2321,75.3
2210,76.5
1308,76.6
2682,78.1
2068,79.7
1785,79.3
2471,75.5
1527,73.3
1454,72.7
215,77.8
1024,76.3
3008,76.1
2609,76.4
1415,74.8
2237,77.2
2079,76.5
948,75.6
2605,75.4
267,81.3
441,74.6
2793,77.8
1384,80.8
2328,73.6
2967,79.5
1730,77.4
2476,75.0
136,73.5
668,74.9
3133,77.2
1392,79.8
272,78.5
353,76.8
1036,76.1
1256,79.0
1167,75.6
351,77.7
1560,75.5
2231,76.6
3129,78.2
655,76.7
900,78.7
991,75.4
936,77.9
2004,77.6
1950,77.7
1043,74.7
546,80.4
2359,75.7
2084,74.1
1160,74.8
1525,77.6
666,77.7
1631,76.8
1285,76.8
2479,75.5
1676,76.4
682,78.0
1646,76.9
2430,76.4
2760,78.5
1410,74.7
382,76.8
1469,73.3
415,74.8
1178,77.7
780,75.1
