,State_FIPS_Code,County_FIPS_Code,Population_Size,LBW,Premature,Under_18,Over_40,Late_Care,MVA,Suicide,No_HS_Diploma,Unemployed,Sev_Work_Disabled,Major_Depression,Recent_Drug_Use,Toxic_Chem,Pap_Smear,Mammogram,Proctoscopy,Pneumo_Vax,Flu_Vac,No_Exercise,Few_Fruit_Veg,High_Blood_Pres,Diabetes,Uninsured,Elderly_Medicare,Disabled_Medicare,Prim_Care_Phys_Rate,Dentist_Rate
983,20,195,3050,6.0,8.3,3.7,3.3,7.0,-1111.1,-1111.1,345,58,40,200,144,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,7.2,334,715,64,131.1,32.8
794,19,15,26602,6.6,9.8,2.0,0.8,7.7,19.3,10.7,2031,574,498,1537,985,812,76.9,80.3,43.0,-1111.1,80.9,26.0,80.3,24.8,6.2,1556,3922,471,41.4,30.1
2875,51,117,32529,10.8,15.2,5.4,1.6,21.2,21.9,12.7,7505,805,849,1906,1457,255793,88.1,83.3,-1111.1,-1111.1,-1111.1,32.6,84.4,27.3,7.4,4688,5838,1180,79.9,24.6
2593,48,145,17646,9.2,16.7,8.6,1.8,30.8,34.8,11.8,3805,462,434,925,790,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,3455,2435,443,11.3,22.7
10,1,21,41744,9.1,14.6,5.7,0.9,22.2,34.8,13.3,9484,685,1887,2355,2009,20846,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,30.3,82.8,26.5,6.0,6130,4527,1307,31.1,19.2
29,1,59,30737,7.7,14.2,5.1,0.7,19.4,41.9,13.8,7922,664,1479,1742,1456,93630,85.0,-1111.1,-1111.1,-1111.1,-1111.1,28.9,85.5,-1111.1,7.2,5977,4871,1320,35.8,22.8
1199,24,19,31401,9.9,13.7,6.9,1.7,14.2,19.1,12.1,5638,915,603,1718,1652,47000,90.3,87.7,59.5,-1111.1,-1111.1,31.3,70.5,29.0,9.7,4525,4961,801,57.3,28.7
350,12,67,7953,7.9,13.1,5.7,0.4,18.9,26.9,-1111.1,1724,98,183,441,444,1598,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1190,603,130,25.1,12.6
835,19,97,20335,5.3,9.4,3.2,1.6,11.3,26.5,16.4,2628,640,492,1171,733,1,90.5,-1111.1,-1111.1,-1111.1,-1111.1,24.4,81.2,24.2,8.8,1961,3455,383,39.3,39.3
76,2,110,30987,4.6,8.3,2.7,3.4,11.1,13.7,9.5,1354,962,-2222,1677,2318,43364398,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,3926,2367,502,122.6,67.8
2510,47,169,7677,8.3,15.0,6.9,0.9,18.0,29.9,24.4,2018,240,407,492,403,0,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,959,824,253,26.1,13.0
1710,31,117,507,-1111.1,-1111.1,-1111.1,-1111.1,14.6,-1111.1,-1111.1,39,6,10,31,19,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,104,-2222,-2222,0.0,0.0
2357,45,87,28539,11.6,17.3,7.3,0.8,18.1,35.5,15.6,6603,1433,1050,1694,1296,25905,80.9,-1111.1,-1111.1,-1111.1,-1111.1,32.4,82.3,42.5,12.5,3700,4507,1563,70.1,21.0
194,6,21,27759,5.3,9.6,5.1,2.3,30.7,30.1,20.3,5297,985,1317,1370,1901,61711,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,6275,3496,615,14.4,25.2
2843,51,51,16243,7.9,13.2,5.1,1.2,14.1,23.9,19.3,4699,362,1625,958,769,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,25.3,-1111.1,-1111.1,6.9,2375,2162,1742,49.3,12.3
2892,51,157,7271,7.1,10.0,2.8,4.5,11.7,32.1,13.5,1262,104,281,430,328,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,623,1236,169,41.3,0.0
2203,40,149,11471,6.1,11.4,5.8,1.5,24.2,25.7,9.9,1581,192,291,712,514,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,24.8,79.5,-1111.1,6.0,2218,2012,277,17.4,8.7
1237,26,17,109029,7.1,10.8,3.4,1.8,14.2,14.3,11.7,13073,3868,2069,6235,6762,3730424,84.5,-1111.1,-1111.1,-1111.1,-1111.1,23.3,80.9,32.6,9.2,12283,15892,2721,45.9,43.1
1934,37,93,41016,9.4,14.1,5.7,0.8,16.4,30.5,5.8,6490,1041,1274,2200,2699,80411,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,28.5,-1111.1,25.6,8.9,7129,1968,792,17.1,7.3
482,13,197,7244,10.8,15.0,7.1,0.8,33.9,42.3,-1111.1,1617,174,245,425,366,147108,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1477,581,163,13.8,0.0
