,State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Abbr,Population_Size,LBW,Premature,Under_18,Over_40,Late_Care,MVA,Suicide,No_HS_Diploma,Unemployed,Sev_Work_Disabled,Major_Depression,Recent_Drug_Use,Toxic_Chem,Pap_Smear,Mammogram,Proctoscopy,Pneumo_Vax,Flu_Vac,No_Exercise,Few_Fruit_Veg,High_Blood_Pres,Diabetes,Uninsured,Elderly_Medicare,Disabled_Medicare,Prim_Care_Phys_Rate,Dentist_Rate,ALE
74,2,90,Fairbanks North Star,AK,87560,5.5,9.4,2.8,2.2,20.4,17.6,14.7,4115,2590,-2222,4461,6826,4196772,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,11681,4275,958,93.7,75.4,76.9
75,2,100,Haines,AK,2272,5.6,8.2,2.5,4.5,24.9,-1111.1,-1111.1,178,129,-2222,132,170,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,355,279,33,88.0,44.0,76.9
76,2,110,Juneau,AK,30987,4.6,8.3,2.7,3.4,11.1,13.7,9.5,1354,962,-2222,1677,2318,43364398,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,3926,2367,502,122.6,67.8,76.9
77,2,122,Kenai Peninsula,AK,51960,4.9,9.4,3.1,3.1,19.7,22.4,25.2,3781,2138,-2222,2789,3933,2056342,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,8308,4150,942,78.9,40.4,76.9
78,2,130,Ketchikan Gateway,AK,13262,4.0,8.4,4.6,2.6,15.3,11.5,16.4,884,535,-2222,710,972,6701,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1804,1161,211,128.2,75.4,76.9
79,2,150,Kodiak Island,AK,13051,6.3,10.6,2.8,3.6,22.7,13.9,10.1,1142,505,-2222,662,953,4336,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,2491,382,34,91.9,61.3,76.9
80,2,164,Lake and Peninsula,AK,1570,4.1,9.9,9.6,2.7,24.3,-1111.1,-1111.1,237,78,-2222,77,125,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,395,-2222,-2222,0.0,0.0,76.9
81,2,170,Matanuska-Susitna,AK,76006,5.6,9.7,3.6,3.3,24.0,25.9,19.4,5469,2514,-2222,3994,5911,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,9561,3977,1006,46.0,32.9,76.9
82,2,180,Nome,AK,9328,5.4,13.6,7.6,1.8,24.8,28.6,63.8,1241,471,-2222,435,693,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1795,496,69,53.6,64.3,76.9
83,2,185,North Slope,AK,6924,5.2,12.7,7.3,1.6,25.5,32.6,35.7,796,350,-2222,313,501,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1202,298,62,57.8,43.3,76.9
